10	Preparatory systems
45-80-95/315	Concrete tiles	45-80-95
45-80-95/320	Mosaic tiles	45-80-95
45-80-95/325	Natural stone tiles or slabs	45-80-95
45-80-95/330	Quarry tiles	45-80-95
45-80-95/335	Terrazzo precast units	45-80-95
45-80-95/340	Terrazzo tiles	45-80-95
45-80-95/345	Warning marker tiles	45-80-95
45-80-95/350	Ceramic tile angle beads	45-80-95
45-80-95/355	Ceramic tile borders	45-80-95
45-80-95/360	Ceramic tile cove skirtings	45-80-95
45-80-95/365	Ceramic tile floor channels	45-80-95
45-80-95/370	Ceramic tile round edges	45-80-95
45-80-95/375	Ceramic tile sit-on skirtings	45-80-95
45-80-95/380	Ceramic tile step treads	45-80-95
45-80-95/385	Quarry tile cove skirtings	45-80-95
45-80-95/390	Quarry tile floor channels	45-80-95
45-80-95/395	Quarry tile sit on skirtings	45-80-95
45-80-95/400	Quarry tile step treads	45-80-95
45-80-95/405	Terrazzo skirtings	45-80-95
45-80-95/410	Spacers (left in place)	45-80-95
45-80-98	Wood Blocks	45-80
45-80-98/305	Wood blocks	45-80-98
45-80-98/310	Mosaic panels	45-80-98
45-80-98/315	Composition blocks	45-80-98
45-80-98/320	Timber procurement	45-80-98
45-85	Wire products	45
45-85-70	Reinforcement	45-85
45-85-70/310	Carbon steel bed joint reinforcement	45-85-70
45-85-70/315	Copper rod reinforcement	45-85-70
45-85-70/320	Phosphor bronze rod reinforcement	45-85-70
45-85-70/330	Stainless steel bed joint reinforcement	45-85-70
45-85-70/335	Glass fibre reinforcement mat	45-85-70
45-85-70/340	Glass fibre fleece reinforcement	45-85-70
45-85-70/350	Polyester fibre fleece reinforcement	45-85-70
45-85-70/355	Glass fibre mesh reinforcement	45-85-70
45-85-70/360	Polypropylene fibre reinforcement	45-85-70
45-85-70/365	Welded wire mesh reinforcement	45-85-70
45-85-70/375	Carbon steel fabric reinforcement	45-85-70
45-85-70/380	Carbon steel plain bar reinforcement	45-85-70
45-85-70/395	Carbon steel ribbed bar reinforcement	45-85-70
45-85-70/400	Mechanical couplers	45-85-70
45-85-70/410	Fibrous reinforcement	45-85-70
45-85-70/420	Metal armouring grilles	45-85-70
45-85-95	Wire, Twine and chains	45-85
45-85-95/305	Aluminium wires	45-85-95
45-85-95/310	Carbon steel barbed wires	45-85-95
45-85-95/315	Carbon steel razor wires	45-85-95
45-85-95/320	Carbon steel wires	45-85-95
45-85-95/322	Copper alloy wires	45-85-95
45-85-95/325	High tensile steel barbed wires	45-85-95
45-85-95/330	High tensile steel line wires	45-85-95
45-85-95/332	Phosphor bronze wires	45-85-95
45-85-95/335	Stainless steel barbed wires	45-85-95
45-85-95/340	Stainless steel razor wires	45-85-95
45-85-95/345	Stainless steel wires	45-85-95
45-85-95/350	Spring steel wires	45-85-95
45-85-95/360	Natural twines	45-85-95
45-85-95/365	Synthetic twines	45-85-95
45-85-95/375	Synthetic threads	45-85-95
45-85-95/385	Carbon steel wire ropes	45-85-95
45-85-95/390	Electric fence ropes	45-85-95
45-85-95/395	Natural ropes	45-85-95
45-85-95/400	Synthetic ropes	45-85-95
45-85-95/405	Stainless steel wire rope	45-85-95
45-85-95/415	Carbon steel chains	45-85-95
45-85-95/420	Stainless steel chains	45-85-95
45-85-95/425	Synthetic chains	45-85-95
45-85-95/435	Carbon steel barbed tapes	45-85-95
45-85-95/440	Stainless steel barbed tapes	45-85-95
45-90	Construction aids	45
45-90-90	Tools	45-90
45-90-90/310	Survey instruments	45-90-90
45-90-90/320	Cameras for TV survey of boreholes	45-90-90
45-90-90/330	Ground water monitoring equipment	45-90-90
45-95	Miscellaneous fabric, landscape & FF&E products	45
45-95-35	Miscellaneous fabric products for services engineering	45-95
45-95-35/310	Outlet headwall in situ concrete splash plates	45-95-35
45-95-35/311	Bitumen impregnated fibreboard	45-95-35
45-95-35/312	Bituminous DPCs	45-95-35
45-95-35/313	Resin impregnated pre-compressed foam sealing strips	45-95-35
45-95-35/314	Cable ducts	45-95-35
45-95-35/315	Cement and sand mortar mix	45-95-35
45-95-35/316	Cement and sand resin modified mortar mix	45-95-35
45-95-35/317	Fabric reinforcement	45-95-35
45-95-35/318	Woven geotextiles	45-95-35
45-95-35/319	Thermally bonded nonwoven geotextiles	45-95-35
45-95-35/320	Needle punched nonwoven geotextiles	45-95-35
45-95-35/321	Impervious lining membranes	45-95-35
45-95-35/322	Geocomposite membranes	45-95-35
45-95-35/323	Coarse sand	45-95-35
45-95-35/324	Gravel	45-95-35
45-95-35/325	Graded manufactured granular fill material	45-95-35
45-95-35/326	Graded natural granular fill material	45-95-35
45-95-35/327	Graded recycled granular fill material	45-95-35
45-95-35/328	Coarse no fines rubble fill	45-95-35
45-95-35/329	Selected as dug fill	45-95-35
45-95-35/330	Type 1 granular sub-base material	45-95-35
45-95-35/331	Mineral wool (MW)	45-95-35
45-95-35/332	Precast concrete cradles	45-95-35
45-95-35/333	Polyethylene sheet	45-95-35
45-95-35/334	Root barrier membranes	45-95-35
45-95-35/335	Concrete (foamed)	45-95-35
45-95-35/336	Concrete (general)	45-95-35
45-95-35/337	Concrete (structural)	45-95-35
45-95-35/338	Concrete (adoptable manhole benchings and surrounds)	45-95-35
45-95-35/339	Concrete (adoptable manhole benching topping)	45-95-35
45-95-35/340	Concrete and masonry reinforcement bars	45-95-35
45-95-35/341	Concrete and masonry reinforcement fabric	45-95-35
45-95-35/342	Bricks	45-95-35
45-95-35/343	Blocks	45-95-35
45-95-35/344	Precast concrete lintels	45-95-35
45-95-35/345	Designated concretes for drainage applications	45-95-35
45-95-35/346	Standardized prescribed concretes for drainage applications	45-95-35
45-95-35/347	Cavity drain channels	45-95-35
45-95-35/348	Cavity drain pumps	45-95-35
45-95-35/349	Cavity drain sumps	45-95-35
45-95-35/350	Cavity drain sumps with integral pumps	45-95-35
45-95-35/355	Pipeducts	45-95-35
45-95-35/356	Mortar	45-95-35
45-95-35/357	Vermin/ insect proof expanding foam	45-95-35
45-95-35/359	Large surface boxes (new designs)	45-95-35
45-95-35/362	Small surface access points	45-95-35
45-95-35/363	Small surface boxes	45-95-35
45-95-35/367	Granular sub-base material	45-95-35
45-95-35/369	Drawlines	45-95-35
45-95-35/375	Anchor blocks	45-95-35
45-95-35/378	Concrete – pre-cast panels	45-95-35
45-95-35/379	Concrete – ready-mix	45-95-35
45-95-35/380	GRP profiled panels	45-95-35
45-95-35/381	Pressed steel panels	45-95-35
45-95-35/382	Steel – large sections	45-95-35
45-95-35/383	Steel – light sections	45-95-35
45-95-35/385	Damp-proof courses	45-95-35
45-95-35/386	Masonry bed joint reinforcement	45-95-35
45-95-35/388	Pressed steel cappings	45-95-35
45-95-35/389	Render coatings	45-95-35
45-95-35/390	Render stops	45-95-35
45-95-35/400	Product certification	45-95-35
45-95-35/401	Fire protection boards	45-95-35
45-95-35/402	Fire stop laminate	45-95-35
45-95-35/403	Intumescent foam	45-95-35
45-95-35/404	Sealants and stoppings	45-95-35
45-95-35/405	Intumescent pillows	45-95-35
45-95-35/406	Pipe collars	45-95-35
50	Disposal systems
50-10	Drainage collection & distribution systems	50
50-10-00	Above ground rainwater drainage systems	50-10
50-10-00/110	External gravity rainwater drainage system	50-10-00
50-10-00/120	Internal gravity rainwater drainage system	50-10-00
50-10-00/130	Siphonic full bore rainwater drainage system	50-10-00
50-10-00/140	Pressure assisted full bore rainwater drainage system	50-10-00
50-10-05	Above ground waste water drainage systems	50-10
50-10-05/110	Above-ground wastewater drainage system with external stacks	50-10-05
50-10-05/120	Above-ground wastewater drainage system with internal stacks	50-10-05
50-10-05/130	Basement wastewater drainage system	50-10-05
50-10-05/140	Commercial catering wastewater drainage system	50-10-05
50-10-10	Below ground drainage monitoring and control systems	50-10
50-10-10/110	Brick shallow inspection chamber system for below ground drainage	50-10-10
50-10-10/115	Brick shallow silt trap and flow control chamber system for below ground drainage	50-10-10
50-10-10/120	Brick manhole system for below ground drainage	50-10-10
50-10-10/125	Plastics shallow inspection chamber system for below ground drainage	50-10-10
50-10-10/130	Plastics deep non entry inspection chamber system for below ground drainage	50-10-10
50-10-10/135	Plastics distribution and sampling chamber system for below ground drainage	50-10-10
50-10-10/140	Precast concrete silt trap and flow control chamber system for below ground drainage	50-10-10
50-10-10/145	Precast concrete shallow inspection chamber system for below ground drainage	50-10-10
50-10-10/150	Precast concrete manhole system for below ground drainage	50-10-10
50-10-10/155	Precast concrete deep manhole system for below ground drainage	50-10-10
50-10-15	Below ground gravity drainage systems	50-10
50-10-15/110	Below ground surface water gravity drainage pipeline system	50-10-15
50-10-15/115	Below ground foul wastewater gravity drainage pipeline system	50-10-15
50-10-15/120	Below ground combined gravity drainage pipeline system	50-10-15
50-10-20	Below ground pumped drainage systems	50-10
50-10-20/110	Below ground private packaged pumping station and pressure pipeline drainage system	50-10-20
50-10-45	Land drainage systems	50-10
50-10-45/110	Blanket drain system for land drainage	50-10-45
50-10-45/115	Filter drain system for land drainage	50-10-45
50-10-45/120	Fin drain piped system for land drainage	50-10-45
50-10-45/125	Narrow slot fin drain system for land drainage	50-10-45
50-10-45/130	Mole drain or subsoiling drain system for land drainage	50-10-45
50-10-45/135	Pipe drain system for subsoil drainage	50-10-45
50-10-45/140	Slitting or grooving system for land drainage	50-10-45
50-10-45/145	Trenchless drain system for land drainage	50-10-45
50-10-45/150	Culvert system for land drainage	50-10-45
50-50	Drainage storage, treatment and disposal systems	50
50-50-05	Below ground private drainage disposal systems	50-50
50-50-05/110	Packaged silt trap system for below ground surface water drainage	50-50-05
50-50-05/115	Wet well system for below ground surface water drainage	50-50-05
50-50-05/120	Granular fill soakaway system for below ground surface water drainage	50-50-05
50-50-05/125	Modular plastics soakaway system for below ground surface water drainage	50-50-05
50-50-05/130	Precast concrete soakaway system for below ground surface water drainage	50-50-05
50-50-05/135	Modular plastics attenuation or storage tank system for below ground surface water drainage	50-50-05
50-50-05/140	Rigid attenuation or storage tank system for below ground surface water drainage	50-50-05
50-50-05/145	Packaged oil and petrol interceptor system for below ground surface water drainage	50-50-05
50-50-05/150	Packaged grease trap system for below ground domestic wastewater drainage	50-50-05
50-50-05/155	Private packaged domestic wastewater below ground storage tank system (cesspool)	50-50-05
50-50-05/160	Private packaged septic tank system for below ground domestic wastewater drainage	50-50-05
50-50-05/165	Private packaged sewage treatment system for below ground domestic wastewater drainage	50-50-05
50-50-05/170	Drainage field system for below ground wastewater drainage	50-50-05
50-50-05/175	Drainage outfall system for below ground wastewater drainage	50-50-05
50-50-75	Sustainable drainage systems (SUDS)	50-50
50-50-75/102	SuDS management train systems	50-50-75
50-50-75/104	SuDS below ground rigid attenuation storage tank system	50-50-75
50-50-75/108	SuDS bioretention area system	50-50-75
50-50-75/112	SuDS conveyance swale system	50-50-75
50-50-75/116	SuDS detention basin system	50-50-75
50-50-75/120	SuDS dry swale system	50-50-75
50-50-75/124	SuDS filter strip system	50-50-75
50-50-75/128	SuDS filter trench system	50-50-75
50-50-75/132	SuDS geocellular attenuation tank system	50-50-75
50-50-75/136	SuDS geocellular soakaway system	50-50-75
50-50-75/140	SuDS granular fill soakaway system	50-50-75
50-50-75/152	SuDS infiltration basin system	50-50-75
50-50-75/156	SuDS infiltration trench system	50-50-75
50-50-75/160	SuDS open channel conveyance system	50-50-75
50-50-75/164	SuDS permeable pavement system	50-50-75
50-50-75/168	SuDS precast concrete ring soakaway system	50-50-75
50-50-75/172	SuDS rainwater harvesting system	50-50-75
50-50-75/176	SuDS retention pond system	50-50-75
50-50-75/180	SuDS sand filter bed below ground system	50-50-75
50-50-75/184	SuDS sand filter bed surface system	50-50-75
50-50-75/188	SuDS water butt system	50-50-75
50-50-75/192	SuDS wet swale system	50-50-75
50-50-75/196	SuDS wetland system	50-50-75
55	Piped supply systems
55-40	Water supply systems	55
55-40-40	Hot & cold water supply systems	55-40
55-40-40/110	Incoming water supply	55-40-40
55-40-40/120	Cold water supply system	55-40-40
55-40-40/130	Pumped cold water supply system	55-40-40
55-40-40/140	Instantaneous hot water supply system	55-40-40
55-40-40/150	Direct hot water storage supply system	55-40-40
55-40-40/160	Indirect hot water storage supply system	55-40-40
55-40-50	Irrigation systems	55-40
55-40-50/115	Drip irrigation system	55-40-50
55-40-50/145	Manual irrigation system	55-40-50
55-40-50/160	Passive irrigation system	55-40-50
55-40-50/170	Sub irrigation system	55-40-50
55-40-50/175	Sprinkler irrigation system	55-40-50
55-40-80	Swimming pool water treatment systems	55-40
55-40-80/110	Pool water treatment system	55-40-80
55-40-95	Water reclamation systems	55-40
55-40-95/110	Grey water reclamation system	55-40-95
55-40-95/120	Rainwater reclamation system	55-40-95
55-45	Liquid fuel supply systems	55
55-45-20	Diesel oil supply systems	55-45
55-45-20/110	Petrol supply system	55-45-20
55-45-20/120	Diesel supply system	55-45-20
55-45-30	Fuel oil supply systems	55-45
55-45-30/110	Fuel oil supply system	55-45-30
55-45-50	Liquid biofuel supply systems	55-45
55-45-50/110	Biofuel supply system	55-45-50
55-55	Steam supply systems	55
55-55-75	Steam supply & condensate systems	55-55
55-55-75/110	Steam and condensate system	55-55-75
55-60	Gas supply systems	55
55-60-05	Biogas supply systems	55-60
55-60-05/110	Biogas system	55-60-05
55-60-10	Compressed air supply systems	55-60
55-60-10/110	Compressed air supply system	55-60-10
55-60-45	Laboratory gas supply systems	55-60
55-60-45/110	Laboratory argon supply system	55-60-45
55-60-45/120	Laboratory helium supply system	55-60-45
55-60-45/130	Laboratory hydrogen supply system	55-60-45
55-60-45/140	Laboratory nitrogen supply system	55-60-45
55-60-45/150	Laboratory oxygen supply system	55-60-45
55-60-50	LPG supply systems	55-60
55-60-50/110	LPG supply system	55-60-50
55-60-55	Natural gas supply systems	55-60
55-60-55/110	Incoming gas supply	55-60-55
55-60-55/120	Natural gas supply system	55-60-55
55-65	Medical gas systems	55
55-65-05	Medical anaesthetic gas scavenging systems	55-65
55-65-05/110	Medical anaesthetic gas scavenging system	55-65-05
55-65-10	Medical compressed air supply systems	55-65
55-65-10/110	Medical compressed air supply system	55-65-10
55-65-25	Medical entonox supply systems	55-65
55-65-25/110	Medical entonox supply system	55-65-25
55-65-55	Medical nitrous oxide supply systems	55-65
55-65-55/110	Medical nitrous oxide supply system	55-65-55
55-65-60	Medical oxygen supply systems	55-65
55-65-60/110	Medical oxygen supply system	55-65-60
55-65-95	Medical vacuum systems	55-65
55-65-95/110	Medical vacuum system	55-65-95
55-85	Piped fire suppression systems	55
55-85-15	Deluge systems	55-85
55-85-15/110	Deluge system	55-85-15
55-85-20	Dry riser systems	55-85
55-85-20/110	Dry riser system	55-85-20
55-85-25	Fire hose reel systems	55-85
55-85-25/110	Fire hose reel system	55-85-25
55-85-30	Fire hydrant systems	55-85
55-85-30/110	Fire hydrant system	55-85-30
55-85-35	Foam fire-extinguishing systems	55-85
55-85-35/110	Foam fire fighting system	55-85-35
55-85-40	Gaseous fire-extinguishing systems	55-85
55-85-40/110	Carbon dioxide fire-extinguishing system	55-85-40
55-85-40/120	Halocarbon gas total flooding fire-extinguishing system	55-85-40
55-85-40/130	Inert gas total flooding fire-extinguishing system	55-85-40
55-85-75	Sprinkler systems	55-85
55-85-75/110	Sprinkler system	55-85-75
55-85-90	Water mist systems	55-85
55-85-90/110	Water mist system	55-85-90
55-85-95	Wet riser systems	55-85
55-85-95/110	Wet riser system	55-85-95
60	Mechanical heating, cooling and refrigeration systems
60-45	Heating and cooling systems	60
60-45-10	Chilled water systems	60-45
60-45-10/110	Chilled water system	60-45-10
60-45-15	Climatic ceiling and beam systems	60-45
60-45-15/110	Climatic beam system	60-45-15
60-45-15/120	Climatic ceiling system	60-45-15
60-45-20	Combined heat and power & tri-generation systems	60-45
60-45-20/110	Combined heat and power system	60-45-20
60-45-35	Heat pump systems	60-45
60-45-35/110	Air source heat pump system	60-45-35
60-45-35/120	Water source heat pump system	60-45-35
60-45-35/130	Ground source heat pump system	60-45-35
60-45-40	Heating systems	60-45
60-45-40/110	Low temperature hot water heating system	60-45-40
60-45-40/120	Medium temperature hot water heating system	60-45-40
60-45-40/130	Steam heating system	60-45-40
60-45-40/140	Solar heating system	60-45-40
60-45-40/150	Direct gas fired heating system	60-45-40
60-45-40/160	Electric heating system	60-45-40
60-45-90	Underfloor heating and cooling systems	60-45
60-45-90/110	Low temperature hot water underfloor heating	60-45-90
60-45-90/120	Chilled water underfloor cooling	60-45-90
60-45-90/130	Combined underfloor heating and cooling	60-45-90
60-45-90/140	Electrical underfloor heating	60-45-90
60-45-95	Variable refrigerant flow systems	60-45
60-45-95/110	Variable refrigerant flow system	60-45-95
60-55	Refrigeration systems	60
60-55-10	Cold room systems	60-55
60-55-10/110	Catering cold room system	60-55-10
60-55-10/120	Mortuary cold room system	60-55-10
65	Ventilation and air conditioning systems
65-10	Ventilation systems	65
65-10-10	Car park ventilation systems	65-10
65-10-10/110	Car park ventilation system	65-10-10
65-10-30	Fume cupboard & safety cabinet extract systems	65-10
65-10-30/110	Safety cabinet extract system	65-10-30
65-10-30/120	Fume cupboard extract system	65-10-30
65-10-30/130	Recirculatory fume cupboards system	65-10-30
65-10-75	Smoke extract and control systems	65-10
65-10-75/110	Smoke and heat exhaust ventilation system	65-10-75
