
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
Q25/270	DESIGN - PRECAST CONCRETE AND GRASS PAVING SYSTEM	Q25
Q25/275	DESIGN - PRECAST CONCRETE AND GRAVEL PAVING SYSTEM	Q25
Q25/280	DESIGN - PLASTICS GRASS REINFORCING PAVING SYSTEM	Q25
Q25/285	DESIGN - GRAVEL FILLED PLASTICS PAVING SYSTEM	Q25
Q25/305	GRANULAR MATERIAL FOR LAYER OVER EXISTING BASES	Q25
Q25/310	NATURAL STONE SLABS	Q25
Q25/315	CONCRETE FLAGS	Q25
Q25/320	TACTILE FLAGS AND SLABS	Q25
Q25/325	BRICKS	Q25
Q25/330	NATURAL STONE SETTS	Q25
Q25/335	CONCRETE SETTS	Q25
Q25/340	NATURAL STONE COBBLES	Q25
Q25/345	PRECAST UNITS FOR CONCRETE AND GRASS PAVING	Q25
Q25/350	PLASTICS PAVERS	Q25
Q25/365	GEOTEXTILE SHEET	Q25
Q25/370	CEMENT FOR SITE MIXED MORTAR	Q25
Q25/375	SAND/ FINE AGGREGATE FOR SITE MIXED MORTAR	Q25
Q25/380	LIME FOR SITE MIXED MORTAR	Q25
Q25/390	SAND FOR FLEXIBLE LAYING COURSE AND JOINTING OF CONCRETE FLAG PAVING	Q25
Q25/400	SAND FOR LAYING COURSE OF GRASSED OR GRAVEL FILLED PAVING	Q25
Q25/420	FINE AGGREGATE FOR LAYING COURSE OF CONCRETE SETT PAVING	Q25
Q25/425	FINE AGGREGATE FOR JOINTING CONCRETE SETT PAVING	Q25
Q25/435	PRIMER FOR UNDERSIDE OF FLAGS AND SLABS	Q25
Q25/440	READY MIXED MORTAR	Q25
Q25/445	READY MIXED FINE CONCRETE	Q25
Q25/450	GRAVEL FILLING	Q25
Q25/455	JOINT FILLER FOR MOVEMENT JOINTS	Q25
Q25/460	JOINT BREAKER BARRIERS FOR MOVEMENT JOINTS	Q25
Q25/465	SEALANT FOR MOVEMENT JOINTS	Q25
Q25/470	SEALER/ STABILIZER SOLUTION FOR BLOCKS AND SETTS	Q25
Q25/475	CLEANING SOLUTION FOR EXISTING BLOCKS AND SETTS	Q25
Q25/480	SUPPORT PEDESTALS	Q25
Q25/490	APPLIED SLIP RESISTANT	Q25
Q25/610	MATERIAL SAMPLES	Q25
Q25/615	CONTROL SAMPLES	Q25
Q25/620	ADVERSE WEATHER	Q25
Q25/625	LAYING PAVINGS - GENERAL	Q25
Q25/630	LEVELS OF PAVING	Q25
Q25/635	REGULARITY OF PAVED SURFACES	Q25
Q25/637	REGULARITY OF PAVED SURFACES	Q25
Q25/640	COLOUR BANDING	Q25
Q25/645	PROTECTION	Q25
Q25/650	CEMENTITIOUS BASES AND SUB-BASES	Q25
Q25/655	CONDITION OF SUB-BASES/ BASES BEFORE SPREADING LAYING COURSE	Q25
Q25/660	DRAINAGE HOLES IN EXISTING BASES	Q25
Q25/665	PLANING AND REPAIRS TO EXISTING BASES	Q25
Q25/670	LAYING GRANULAR LAYER OVER EXISTING BASES	Q25
Q25/675	LAYING GEOTEXTILE SHEET EDGING STRIPS	Q25
Q25/680	LAYING GEOTEXTILE SHEET PATCHES OVER DRAINAGE HOLES	Q25
Q25/685	LAYING GEOTEXTILE SHEET OVERLAYS	Q25
Q25/690	RECLAIMED NATURAL STONE	Q25
Q25/695	SITE MIXED MORTAR	Q25
Q25/700	SITE MIXED FINE CONCRETE	Q25
Q25/705	SITE MIXED SAND AND SOIL FOR GRASS REINFORCING PLASTICS PAVERS	Q25
Q25/710	LAYING FLAG AND SLAB PAVING - SAND LAYING COURSE AND JOINTING	Q25
Q25/715	LAYING FLAG AND SLAB PAVING - MORTAR LAYING COURSE AND JOINTING	Q25
Q25/725	LAYING RIGID BRICK PAVING	Q25
Q25/730	LAYING NATURAL STONE SETT PAVING	Q25
Q25/735	LAYING CONCRETE SETT PAVING - MORTAR BEDDED	Q25
Q25/740	LAYING CONCRETE SETT PAVING - FINE AGGREGATE BEDDING AND JOINTING	Q25
Q25/750	LAYING NATURAL STONE COBBLE PAVING	Q25
Q25/755	LAYING PRECAST CONCRETE AND GRASS PAVING	Q25
Q25/760	LAYING PRECAST CONCRETE AND GRAVEL PAVING	Q25
Q25/765	LAYING PLASTICS GRASS REINFORCING PAVERS	Q25
Q25/770	LAYING GRAVEL FILLED PLASTICS PAVERS	Q25
Q25/780	LAYING MORTAR BEDDED ACCESSORIES	Q25
Q25/785	TOOLED JOINTS IN MORTAR BEDDED UNITS	Q25
Q25/790	TOOLED COLOURED JOINTS IN MORTAR BEDDED UNITS	Q25
Q25/795	SEALANT MOVEMENT JOINTS IN MORTAR BEDDED UNITS	Q25
Q25/800	APPLYING SEALER/ STABILIZER TO BLOCKS AND SETTS	Q25
Q25/805	CLEANING EXISTING BLOCKS AND SETTS	Q25
Q25/810	PEDESTAL INSTALLATION	Q25
Q25/915	COMPLETION OF PAVING WITH DRY SAND OR FINE AGGREGATE FILLED JOINTS	Q25
Q25/920	COMPLETION OF GRASSED PAVINGS	Q25
Q26	SPECIAL SURFACINGS/ PAVINGS FOR SPORT/ GENERAL AMENITY	Q
Q26/110	INFORMATION TO BE PROVIDED BY THE CONTRACTOR	Q26
Q26/120	SURFACING FOR	Q26
Q26/130	SURFACING FOR	Q26
Q26/140	SURFACE GRADIENTS, EVENNESS AND FLATNESS	Q26
Q26/150	SUITABILITY OF BASE/ SUB-BASE	Q26
Q26/210	FILLED SYNTHETIC SPORTS TURF SURFACING	Q26
Q26/220	UNFILLED SYNTHETIC SPORTS TURF SURFACING	Q26
Q26/230	IN SITU POLYMERIC SURFACING	Q26
Q26/240	SHEET FORM GRANULAR RUBBER SURFACING	Q26
Q26/250	ACRYLIC COATED SURFACING	Q26
Q26/260	RESIN BOUND STONE AGGREGATE SURFACING	Q26
Q26/270	FAST-DRY CLAY SURFACING	Q26
Q26/280	SYNTHETIC MATTING FOR DRY SKI SLOPES	Q26
Q26/300	EXTENT OF IMPACT ABSORBING SURFACING	Q26
Q26/301	EXTENT OF IMPACT ABSORBING SURFACING	Q26
Q26/310	BARK SURFACING	Q26
Q26/320	WOODCHIP SURFACING	Q26
Q26/330	SAND SURFACING	Q26
Q26/340	RUBBER MAT AND TILE SURFACING	Q26
Q26/350	SYNTHETIC GRASS SURFACING	Q26
Q26/360	IN SITU SYNTHETIC SURFACING	Q26
Q26/410	FLUSH EDGING TO SURFACING TYPE Q26/	Q26
Q26/415	RAISED EDGING TO SURFACING TYPE Q26/	Q26
Q26/420	LINE MARKINGS TO SURFACING TYPE Q26/	Q26
Q26/430	EDGES	Q26
Q26/440	STUMP BOXES TO CRICKET WICKETS	Q26
Q26/710	SYNTHETIC SPORTS TURF INSTALLATION	Q26
Q26/720	FAST-DRY CLAY TENNIS COURT INSTALLATION	Q26
Q26/910	SPORTS SURFACE TESTING	Q26
Q26/920	PLAY SURFACE TESTING	Q26
Q26/930	DOCUMENTATION	Q26
Q26/940	LABELLING	Q26
Q28	TOPSOIL AND SOIL AMELIORANTS	Q
Q28/110	NATURALLY OCCURRING TOPSOIL SYSTEM	Q28
Q28/120	MANUFACTURED TOPSOIL/ GROWING MEDIA SYSTEM	Q28
Q28/300	PREPARATION MATERIALS GENERALLY	Q28
Q28/305	PERMITTED MATERIALS	Q28
Q28/310	MATERIALS NOT PERMITTED	Q28
Q28/315	IMPORTED TOPSOIL TO BS 3882	Q28
Q28/320	IMPORTED TOPSOIL FROM A SPECIFIED SOURCE	Q28
Q28/325	IMPORTED TOPSOIL, CUSTOM MIX	Q28
Q28/330	IMPORTED MANUFACTURED TOPSOIL/ GROWING MEDIUM	Q28
Q28/335	IMPORTED MANUFACTURED TOPSOIL, CUSTOM MIX	Q28
Q28/340	SPECIAL IMPORTED TOPSOIL AND/ OR GROWING MEDIA	Q28
Q28/345	AGGREGATES	Q28
Q28/350	MINERALS	Q28
Q28/355	ORGANIC MATERIALS	Q28
Q28/360	SANITIZED AND STABILIZED COMPOSTED MATERIALS CERTIFIED TO PAS 100	Q28
Q28/370	TEMPORARY CROPS GROWN ON SITE	Q28
Q28/375	INDUSTRIAL BY-PRODUCTS	Q28
Q28/380	MYCORRHIZAL INOCULANT	Q28
Q28/385	GEL WATER RETENTION SYSTEMS	Q28
Q28/390	FERTILIZERS TO BE INCORPORATED INTO TOPSOIL AND MANUFACTURED TOPSOIL	Q28
Q28/395	FERTILIZERS FOR CONTAINER PLANTING	Q28
Q28/400	MAINTENANCE FERTILIZERS	Q28
Q28/605	SITE INVESTIGATION	Q28
Q28/610	TOPSOIL ANALYSIS	Q28
Q28/615	TESTING OF MATERIALS	Q28
Q28/620	IMPORTING TOPSOIL	Q28
Q28/625	SAMPLE LOADS	Q28
Q28/630	DOCUMENTATION FOR IMPORTED TOPSOIL	Q28
Q28/635	DOCUMENTATION FOR COMPOST AND COMPOSTED MATERIALS	Q28
Q28/640	DOCUMENTATION FOR PREPARATION MATERIALS	Q28
Q28/650	NOTICE	Q28
Q28/655	MECHANICAL TOOLS	Q28
Q28/660	GRADING SUBSOIL	Q28
Q28/665	SUBSOIL SURFACE PREPARATION	Q28
Q28/670	INSPECTING FORMATIONS	Q28
Q28/675	PREPARATION OF UNDISTURBED TOPSOIL	Q28
Q28/680	SURPLUS TOPSOIL TO BE RETAINED	Q28
Q28/685	SURPLUS MATERIALS TO BE REMOVED	Q28
Q28/690	TOPSOIL STORAGE HEAPS	Q28
Q28/695	CULTIVATION	Q28
Q28/700	GRADING OF TOPSOIL	Q28
Q28/705	HANDLING TOPSOIL	Q28
Q28/710	SPREADING TOPSOIL	Q28
Q28/715	LOOSE TIPPING OF TOPSOIL	Q28
Q28/720	FINISHED LEVELS OF TOPSOIL AFTER SETTLEMENT	Q28
Q28/725	SPORTSFIELDS	Q28
Q28/750	SITE-MADE TOPSOIL	Q28
Q28/755	SITE-MADE GROWING MEDIA	Q28
Q28/770	SITE-MADE COMPOSTING FACILITIES	Q28
Q28/800	SOWING TEMPORARY CROPS	Q28
Q28/805	APPLYING SOIL AMELIORANT	Q28
Q28/810	APPLYING COMPOST	Q28
Q28/815	APPLYING LIME	Q28
Q28/820	APPLYING GENERAL FERTILIZER	Q28
Q28/825	APPLYING FERTILIZER TO PROPOSED GRASS AREAS	Q28
Q28/835	APPLYING BURIED GEL IRRIGATION SYSTEM	Q28
Q28/840	APPLYING MYCORRHIZAL INOCULANT	Q28
Q28/905	APPLYING MAINTENANCE FERTILIZER	Q28
Q28/915	FEEDING AND FERTILIZING CONTAINER PLANTING	Q28
Q30	SEEDING/ TURFING	Q
Q30/115	SEEDED AND TURFED AREAS	Q30
Q30/120	CLIMATIC CONDITIONS	Q30
Q30/145	WATERING	Q30
Q30/146	WATERING	Q30
Q30/150	WATER RESTRICTIONS	Q30
Q30/160	NOTICE	Q30
Q30/170	SETTING OUT	Q30
Q30/210	HERBICIDE	Q30
Q30/212	SEED BED CLEANING BEFORE SOWING	Q30
Q30/280	FINAL CULTIVATION	Q30
Q30/290	PREPARATION FOR HYDRAULIC SEEDING	Q30
Q30/310	GRASS SEED	Q30
Q30/311	GRASS SEED	Q30
Q30/312	SEED MIXTURE	Q30
Q30/319	QUALITY OF SEED	Q30
Q30/320	QUALITY OF SEED	Q30
Q30/330	SOWING	Q30
Q30/335	GRASS SOWING SEASON	Q30
Q30/336	WILDFLOWER SOWING SEASON	Q30
Q30/340	PRE-EMERGENT HERBICIDE	Q30
Q30/350	TURF EDGING TO SEEDED AREAS	Q30
Q30/352	EDGES TO SEEDED AREAS	Q30
Q30/355	SURFACE REINFORCEMENT MAT/ MESH	Q30
Q30/361	REINFORCED GRASS SYSTEM	Q30
Q30/365	PRESEEDED MATTING	Q30
Q30/370	HYDRAULIC SEEDING	Q30
Q30/380	HYDRAULIC SEEDING	Q30
Q30/400	CULTIVATED TURF	Q30
Q30/405	CULTIVATED TURF	Q30
Q30/410	TURF TO BS 3969	Q30
Q30/420	DELIVERY AND STORAGE	Q30
Q30/423	INSPECTION OF TURF	Q30
Q30/427	WEED SUPPRESSION MEMBRANE	Q30
Q30/428	COMPOST DRESSING FOR TURF	Q30
Q30/429	DRESSING FOR TURF	Q30
Q30/430	TURFING GENERALLY	Q30
Q30/440	TURFING ON BANKS EXCEEDING 30° SLOPE	Q30
Q30/445	TURF NETTING	Q30
Q30/450	TRIMMING TURF	Q30
Q30/510	PROTECTIVE FENCING	Q30
Q30/530	FIRST CUT OF GRASSED AREAS	Q30
Q30/540	FIRST CUT OF	Q30
Q30/550	AREAS NOT TO BE CUT	Q30
Q30/560	GRASS EDGING STRIPS	Q30
Q30/565	TIMBER/ PLASTICS EDGINGS	Q30
Q30/567	GALVANIZED STEEL EDGINGS	Q30
Q30/570	PLASTICS MESH REINFORCEMENT	Q30
Q30/580	PLASTICS PAVING SYSTEMS	Q30
Q30/590	CLEANLINESS	Q30
Q30/610	FAILURES OF SEEDING/TURFING	Q30
Q30/620	MAINTAINING	Q30
Q30/650	MAINTAINING GRASSED AREAS WITH PERENNIAL WILD FLOWERS	Q30
Q30/660	MAINTAINING GRASSED AREAS WITH ANNUAL WILD FLOWERS	Q30
Q30/680	MAINTENANCE FERTILIZER	Q30
Q30/685	MAINTENANCE FERTILIZER	Q30
Q31	EXTERNAL PLANTING	Q
Q31/112	SITE CLEARANCE GENERALLY	Q31
Q31/115	SITE CLEARANCE FOR AQUATIC/ MARGINAL PLANTING	Q31
Q31/118	SOIL CONDITIONS	Q31
Q31/120	CLIMATIC CONDITIONS	Q31
Q31/125	TIMES OF YEAR FOR PLANTING	Q31
Q31/130	MECHANICAL TOOLS	Q31
Q31/145	WATERING	Q31
Q31/146	WATERING	Q31
Q31/150	WATER RESTRICTIONS	Q31
Q31/160	NOTICE	Q31
Q31/165	PREPARATION, PLANTING AND MULCHING MATERIALS	Q31
Q31/200	PLANTS/ TREES - GENERAL	Q31
Q31/215	PLANTS/ TREES - SPECIFICATION CRITERIA	Q31
Q31/216	PLANTS/ TREES - SPECIFICATION CRITERIA	Q31
Q31/225	BULBS/ CORMS/ TUBERS	Q31
Q31/235	CONTAINER GROWN PLANTS/ TREES	Q31
Q31/245	LABELLING AND INFORMATION	Q31
Q31/246	LABELLING AND INFORMATION	Q31
Q31/255	PLANTS/ TREES RESERVED AT SUPPLIER'S PREMISES	Q31
Q31/260	PLANT/ TREE SUBSTITUTION	Q31
Q31/265	PLANT HANDLING, STORAGE TRANSPORT AND PLANTING	Q31
Q31/275	PERMANENT IDENTIFICATION OF PLANTS	Q31
Q31/280	TREATMENT OF TREE WOUNDS	Q31
Q31/285	PROTECTION OF EXISTING GRASS	Q31
Q31/290	SURPLUS MATERIAL	Q31
Q31/292	PREFABRICATED PLANT CONTAINERS	Q31
Q31/294	HANGING PLANT CONTAINERS	Q31
Q31/296	TIMBER PLANT CONTAINERS	Q31
Q31/297	TIMBER PLANT CONTAINERS	Q31
Q31/298	WATERPROOFING LINING	Q31
Q31/300	HERBICIDE	Q31
Q31/305	WEED CONTROL	Q31
Q31/375	CULTIVATION	Q31
Q31/385	MULCH MATTING/ GEOTEXTILE FABRIC	Q31
Q31/390	GEOTEXTILE FABRIC LINING FOR AQUATIC/ MARGINAL PLANTING	Q31
Q31/400	RANDOM PLANT LAYOUT	Q31
Q31/401	REGULAR PLANT LAYOUT	Q31
Q31/405	SHRUB PLANTING PITS	Q31
Q31/410	BURIED GEL IRRIGATION SYSTEM	Q31
Q31/415	ANTIDESICCANT FOR CONIFERS/ EVERGREENS	Q31
Q31/417	MYCORRHIZAL INOCULANT	Q31
Q31/420	CLIMBING PLANTS	Q31
Q31/435	CLIMBING PLANTS USED AS GROUND COVER	Q31
Q31/445	PLANTING BULBS/ CORMS/ TUBERS	Q31
Q31/455	PLANTING WILD FLOWER PLUGS	Q31
Q31/457	PLANTING AQUATIC/ MARGINAL PLANT PLUGS	Q31
Q31/459	NOTCH PLANTING BARE ROOT AQUATIC PLANTS	Q31
Q31/461	PLANTING CONTAINERIZED, BAGGED AND WEIGHTED BUNCH AQUATIC PLANTS	Q31
Q31/462	BALLASTING AQUATIC AND MARGINAL PLANTING	Q31
Q31/463	PREPLANTED MATS	Q31
Q31/470	FORMAL HEDGES	Q31
Q31/471	NATURALIZED HEDGES	Q31
Q31/472	FENCING SUPPORT FOR NEW HEDGES	Q31
Q31/476	SHRUB, HERBACEOUS AND BULB BACKFILLING MATERIAL	Q31
Q31/480	AFTER PLANTING	Q31
Q31/485	MULCHING PLANTING BEDS	Q31
Q31/486	SHRUB PROTECTION	Q31
Q31/490	INDIVIDUAL MULCH MATS	Q31
Q31/500	ANTIDESICCANT FOR CONIFERS/ EVERGREENS	Q31
Q31/505	TREE PITS	Q31
Q31/510	TREE PIT ROOT BARRIERS	Q31
Q31/512	TREE PIT ACCESSORIES	Q31
Q31/515	TREE PIT DRAINAGE	Q31
Q31/525	SEMIMATURE TREES	Q31
Q31/535	STAKING GENERALLY	Q31
Q31/545	LONG SINGLE STAKING FOR	Q31
Q31/555	SHORT SINGLE STAKING FOR	Q31
Q31/565	LONG DOUBLE STAKING FOR	Q31
Q31/575	SHORT DOUBLE STAKING FOR	Q31
Q31/586	TREE BACKFILLING MATERIAL	Q31
Q31/590	MULCHING TREES	Q31
Q31/595	TREE PROTECTION	Q31
Q31/597	TREE SPATS/ MULCH MATS	Q31
Q31/600	WOODLAND WORK GENERALLY	Q31
Q31/605	EXISTING VEGETATION/ WEED CLEARANCE	Q31
Q31/615	EXISTING TREES/ SEEDLINGS/ COPPICE SHOOTS	Q31
Q31/617	REMOVING TREES AND HEDGES	Q31
Q31/625	CULTIVATION	Q31
Q31/635	NOTCH PLANTING IN UNCULTIVATED GROUND	Q31
Q31/645	PLANTING IN TURF	Q31
Q31/655	FURROW PLANTING	Q31
Q31/665	SETTING OUT	Q31
Q31/680	SETTING OUT	Q31
Q31/710	MAINTENANCE	Q31
Q31/720	FAILURES OF PLANTING	Q31
Q31/730	PROTECTIVE FENCING	Q31
Q31/740	CLEANLINESS	Q31
Q31/750	PLANTING MAINTENANCE GENERALLY	Q31
Q31/755	PLANTING MAINTENANCE - FERTILIZER	Q31
Q31/760	PLANTING MAINTENANCE - PRUNING	Q31
Q31/770	WOODLAND PLANTING MAINTENANCE	Q31
Q31/780	MAINTENANCE INSTRUCTIONS	Q31
Q31/790	FINAL MULCHING	Q31
Q32	INTERNAL AND ARTIFICIAL PLANTING	Q
Q32/110	INTERNAL ENVIRONMENT	Q32
Q32/120	SUITABILITY OF INTERNAL ENVIRONMENT	Q32
Q32/130	PLANT SUBSTITUTION	Q32
Q32/140	PREPARATION, PLANTING AND MULCHING MATERIALS	Q32
Q32/150	DRAINAGE LAYER	Q32
Q32/160	SOIL SEPARATORS	Q32
Q32/170	PEAT	Q32
Q32/190	COMPOST	Q32
Q32/200	PROPRIETARY PREMIXED COMPOST	Q32
Q32/210	HYDROCULTURE	Q32
Q32/233	WATERING	Q32
Q32/240	WATER RESTRICTIONS	Q32
Q32/260	NOTICE	Q32
Q32/270	IN SITU PLANT CONTAINERS	Q32
Q32/275	PREFABRICATED PLANT CONTAINERS	Q32
Q32/280	TIMBER PLANT CONTAINERS - PRESERVATIVE TREATED	Q32
Q32/281	TIMBER PLANT CONTAINERS	Q32
Q32/290	PREFORMED WATERPROOF LININGS	Q32
Q32/310	PLANTS - GENERAL	Q32
Q32/320	CONTAINER GROWN PLANTS	Q32
Q32/330	SPECIFICATION CRITERIA TO BS 3936	Q32
Q32/331	SPECIFICATION CRITERIA TO THE NATIONAL PLANT SPECIFICATION	Q32
Q32/332	SPECIFICATION CRITERIA TO ANSI Z60.1	Q32
Q32/345	PLANTS RESERVED AT SUPPLIER'S PREMISES	Q32
Q32/371	LABELLING AND INFORMATION	Q32
Q32/372	LABELLING AND INFORMATION	Q32
Q32/410	PLANT HANDLING, STORAGE AND TRANSPORT	Q32
Q32/420	PLANTING	Q32
Q32/430	PLANTING CLIMBING PLANTS	Q32
Q32/435	CLIMBING PLANTS USED AS GROUND COVER	Q32
Q32/440	PLANTING SHRUBS	Q32
Q32/450	PLANTING TREES	Q32
Q32/460	ANTIDESICCANT FOR CONIFERS/ EVERGREENS	Q32
Q32/470	TREE WORK GENERALLY	Q32
Q32/490	PERMANENT IDENTIFICATION OF PLANTS	Q32
Q32/510	POLYESTER SILK PLANTS	Q32
Q32/520	PRESERVED PLANTS	Q32
Q32/530	LIGHTWEIGHT FIXING MEDIUM	Q32
Q32/540	IN SITU CONCRETE FIXING MEDIUM	Q32
Q32/550	INSTALLATION OF ARTIFICIAL PLANTS	Q32
Q32/600	AFTERCARE UP TO COMPLETION	Q32
Q32/610	MAINTENANCE	Q32
Q32/620	FAILURES OF PLANTING	Q32
Q32/630	PLANTING MAINTENANCE	Q32
Q32/635	ARTIFICIAL PLANTING MAINTENANCE	Q32
Q32/640	FEEDING AND FERTILIZING	Q32
Q32/650	MAINTENANCE INSTRUCTIONS	Q32
Q32/660	FINAL MULCHING	Q32
Q35	LANDSCAPE MAINTENANCE	Q
Q35/105	MAINTENANCE OBJECTIVES	Q35
Q35/110	NOTICE	Q35
Q35/130	REINSTATEMENT	Q35
Q35/140	CONTROL OF MAMMALIAN PESTS	Q35
Q35/145	CONTROL OF INVASIVE ANIMAL SPECIES	Q35
Q35/150	PERFORMANCE CRITERIA FOR CONTROL OF INVASIVE ANIMAL SPECIES	Q35
Q35/152	PERFORMANCE CRITERIA FOR CONTROL OF INVASIVE PLANT SPECIES	Q35
Q35/155	WATERING	Q35
Q35/156	WATERING	Q35
Q35/160	WATER RESTRICTIONS	Q35
Q35/170	DISPOSAL OF ARISINGS	Q35
Q35/175	DISPOSAL OF ARISINGS	Q35
Q35/180	CHIPPING OR SHREDDING	Q35
Q35/181	MECHANICAL EQUIPMENT	Q35
Q35/190	LITTER	Q35
Q35/195	PROTECTION OF EXISTING GRASS	Q35
Q35/197	CLEANLINESS	Q35
Q35/210	MAINTENANCE OF GRASSED AREAS	Q35
Q35/211	MAINTENANCE OF GRASSED AREAS	Q35
Q35/220	GRASS CUTTING GENERALLY	Q35
Q35/225	TREE STEMS	Q35
Q35/226	TREE STEMS	Q35
Q35/235	BULBS AND CORMS IN GRASSED AREAS	Q35
Q35/240	MOWING STRIPS	Q35
Q35/250	LEAF REMOVAL	Q35
Q35/255	FIRST CUT OF	Q35
Q35/260	MOWING LAWNS	Q35
Q35/262	MOWING SPORTS FIELDS	Q35
Q35/265	MOWING GENERAL AREAS	Q35
Q35/270	MOWING ROUGH GRASSED AREAS	Q35
Q35/272	MAINTAINING GRASSED AREAS WITH PERENNIAL WILD FLOWERS	Q35
Q35/273	MAINTAINING GRASSED AREAS WITH ANNUAL WILD FLOWERS	Q35
Q35/275	CUTTING SUMMER FLOWERING WILD FLOWER MEADOWS	Q35
Q35/280	CUTTING SPRING FLOWERING WILD FLOWER MEADOWS	Q35
Q35/285	TOP DRESSING	Q35
Q35/290	ROLLING	Q35
Q35/295	SPIKING	Q35
Q35/300	SCARIFYING	Q35
Q35/305	HARROWING	Q35
Q35/307	HOLLOW TINING	Q35
Q35/309	EDGES TO SEEDED AREAS	Q35
Q35/310	RE-FORMING GRASS EDGES	Q35
Q35/311	RE-FORMING GRASS EDGES	Q35
Q35/320	LEVELLING HOLLOWS AND BUMPS IN TURF	Q35
Q35/325	RELIEVING SURFACE COMPACTION IN TURF	Q35
Q35/330	SELECTIVE HERBICIDE	Q35
Q35/340	SPOT WEEDKILLING IN ROUGH GRASS AREAS	Q35
Q35/345	CONTROL OF JAPANESE KNOTWEED	Q35
Q35/350	FERTILIZER - SPRING APPLICATION	Q35
Q35/360	FERTILIZER - AUTUMN APPLICATION	Q35
Q35/370	WORM CONTROL	Q35
Q35/375	PEST CONTROL	Q35
Q35/380	REINSTATEMENT OF DAMAGED LAWNS	Q35
Q35/381	REINSTATEMENT OF WORN OR DAMAGED LAWNS	Q35
Q35/450	PLANTING BEDS OF ANNUALS	Q35
Q35/460	BEDS OF PERENNIALS OR PERENNIALS AND ANNUALS	Q35
Q35/470	FLOWER BEDS GENERALLY	Q35
Q35/480	CONSERVATION OF TENDER PERENNIALS	Q35
Q35/490	THINNING BY REMOVAL OF SURPLUS PLANTS	Q35
Q35/500	ESTABLISHMENT OF NEW PLANTING	Q35
Q35/502	ESTABLISHMENT OF NEW PLANTING - FERTILIZER	Q35
Q35/510	TREE STAKES AND TIES	Q35
Q35/515	TREE GUY WIRES	Q35
Q35/520	REFIRMING OF TREES AND SHRUBS	Q35
Q35/525	TREE GUARDS	Q35
Q35/530	TREE SHELTERS	Q35
Q35/535	TREE GRILLES	Q35
Q35/540	PRUNING GENERALLY	Q35
Q35/545	PRUNING OF EXCESSIVE OVERHANG	Q35
Q35/550	PRUNING OF EXCESSIVE HEIGHT	Q35
Q35/555	PRUNING TREES AND SHRUBS	Q35
Q35/570	FORMATIVE PRUNING OF YOUNG TREES	Q35
Q35/575	PRUNING ORNAMENTAL SHRUBS	Q35
Q35/580	PRUNING FLOWERING SPECIES OF SHRUBS AND ROSES	Q35
Q35/590	PRUNING PARTICULAR SPECIES	Q35
Q35/600	TRIMMING RAPIDLY ESTABLISHING HEDGES	Q35
Q35/605	TRIMMING SLOWLY ESTABLISHING HEDGES	Q35
Q35/610	TRIMMING TAPERING ESTABLISHED HEDGES	Q35
Q35/611	TRIMMING NONTAPERING ESTABLISHED HEDGES	Q35
Q35/615	TRIMMING FIELD HEDGES	Q35
Q35/620	REMOVAL OF DEAD PLANT MATERIAL	Q35
Q35/625	CLIMBING PLANTS	Q35
Q35/630	DEAD AND DISEASED PLANTS	Q35
Q35/635	REINSTATEMENT OF SHRUB/ HERBACEOUS AREAS	Q35
Q35/640	THINNING BY REMOVAL OF SURPLUS PLANTS	Q35
Q35/642	THINNING BY TRANSPLANTING SURPLUS PLANTS	Q35
Q35/645	WEED CONTROL GENERALLY	Q35
Q35/650	HAND WEEDING	Q35
Q35/655	WEED CUTTING BY HAND OR MACHINE	Q35
Q35/657	HERBICIDE TO KILL REGROWTH	Q35
Q35/665	WEED CONTROL WITH WINTER HERBICIDE	Q35
Q35/670	WEED CONTROL WITH SUMMER HERBICIDE	Q35
Q35/675	DIGGING OVER	Q35
Q35/680	SOIL AERATION	Q35
Q35/685	SOIL LEVEL ADJUSTMENT	Q35
Q35/690	MAINTENANCE OF LOOSE MULCH	Q35
Q35/693	MAINTENANCE OF MULCH MATTING/ SHEET MULCHES	Q35
Q35/695	FERTILIZING ESTABLISHED TREES AND SHRUBS	Q35
Q35/700	SNOW REMOVAL FROM SHRUBS/ TREES	Q35
Q35/705	WINTER LEAF REMOVAL	Q35
Q35/710	WOODLAND PLANTING MAINTENANCE	Q35
Q35/715	WOODLAND THINNING	Q35
Q35/720	COPPICING	Q35
Q35/810	TREE WORK GENERALLY	Q35
Q35/815	ADDITIONAL WORK	Q35
Q35/820	PREVENTION OF WOUND BLEEDING	Q35
Q35/825	PREVENTION OF DISEASE TRANSMISSION	Q35
Q35/830	CLEANING OUT AND DEADWOODING	Q35
Q35/835	CUTTING AND PRUNING GENERALLY	Q35
Q35/840	CROWN REDUCTION/ SHAPING	Q35
Q35/845	CROWN LIFTING	Q35
Q35/850	CROWN THINNING	Q35
Q35/855	CUTTING TREE ROOTS	Q35
Q35/860	REMOVING TREES, SHRUBS AND HEDGES	Q35
Q35/865	BARK DAMAGE	Q35
Q35/870	CAVITIES IN TREES	Q35
Q35/890	DREDGING TO	Q35
Q35/895	CLEARANCE OF WATERCOURSES	Q35
Q35/900	SNOW CLEARANCE	Q35
Q35/910	HARD SURFACES AND GRAVEL AREAS	Q35
Q35/915	PAVING SEALANT	Q35
Q35/920	FENCING	Q35
Q35/930	GRAFFITI REMOVAL	Q35
Q37	GREEN ROOFS	Q
